name,run,antibody,ug/ml_Ab,libfracsurvive
L2-5A01-200ng-ml,SRR7974478,5A01,0.20,0.0228500
L2-4F03-2ug-ml,SRR7974479,4F03,2.50,0.0099700
L2-6C05-2ug-ml,SRR7974480,6C05,2.00,0.0844000
L2-5A01-1ug-ml,SRR7974481,5A01,1.00,0.0000397
L2-3C06-1ug-ml,SRR7974474,3C06,1.00,0.0000666
L2-3C04-1ug-ml,SRR7974475,3C04,1.00,0.0002620
L2-6C05-5ug-ml,SRR7974476,6C05,5.00,0.0147400
L2-4C01-1ug-ml,SRR7974477,4C01,1.00,0.0000734
L2-1C04-10ug-ml,SRR7974482,1C04,10.00,0.1110000
L2-3C06-550ng-ml,SRR7974483,3C06,0.55,0.0001000
L2-3C06-700ng-ml,SRR7974489,3C06,0.70,0.0000880
L2-3C04-650ng-ml,SRR7974490,3C04,0.65,0.0003310
L2-4C01-600ng-ml,SRR7974491,4C01,0.60,0.0001850
L2-1C04-16ug-ml,SRR7974492,1C04,16.00,0.1031900
L2-6C05-7ug-ml,SRR7974493,6C05,7.00,0.0072000
L2mock-A,SRR7974494,none,0.00,1.0
WTplasmid-A,SRR7974495,none,0.00,1.0
L3-4F03-2ug-ml,SRR7974496,4F03,2,0.03775
L3-1C04-18ug-ml,SRR7974497,1C04,18,0.07904
L3-6C05-3ug-ml,SRR7974498,6C05,3,0.04239
L2-3C06-200ng-ml,SRR7974506,3C06,0.2,0.1168
L2-3C04-200ng-ml,SRR7974505,3C04,0.2,0.1101
L2mock-B,SRR7974508,none,0,1.0
L3mock,SRR7974507,none,0,1.0
WTplasmid-B,SRR7974502,none,0,1.0
L4-5A01-100ng-ml,SRR7974501,5A01,0.1,0.00136
L4-5A01-200ng-ml,SRR7974504,5A01,0.2,0.000162
L4-3C06-100ng-ml,SRR7974503,3C06,0.1,0.000688
L4-3C06-250ng-ml,SRR7974500,3C06,0.25,0.000107
L4-3C04-100ng-ml,SRR7974499,3C04,0.1,0.000777
L4-3C04-250ng-ml,SRR7974487,3C04,0.25,0.000421
L4-4C01-200ng-ml,SRR7974488,4C01,0.2,0.00119
L4-4C01-400ng-ml,SRR7974485,4C01,0.2,0.000532
L4mock,SRR7974486,none,0,1.0
WT-pHH-plasmid,SRR7974484,none,0,1.0
